,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q4,Q5
0,4,2,1,2,5,5,5,non-management,full-time
1,4,4,4,4,4,5,4,non-management,full-time
2,3,4,1,1,4,4,4,non-management,full-time
3,2,2,4,2,5,5,5,non-management,full-time
4,5,5,5,5,4,5,5,non-management,part-time
5,3,4,4,2,4,4,4,management,full-time
6,3,2,2,2,2,4,2,management,full-time
7,4,5,4,4,4,4,4,non-management,full-time
8,3,2,2,2,3,2,2,non-management,full-time
9,4,4,4,1,4,4,4,non-management,part-time
10,4,5,4,4,4,4,4,non-management,full-time
11,4,4,3,4,4,2,4,non-management,full-time
12,3,4,4,4,4,4,2,non-management,unsure
13,4,4,3,3,4,5,4,non-management,part-time
14,4,2,5,2,3,5,2,non-management,full-time
15,4,5,4,4,3,4,4,management,full-time
16,5,5,4,5,5,5,5,management,full-time
17,4,4,3,4,5,5,5,management,full-time
18,3,5,4,3,4,4,2,non-management,full-time
19,4,5,4,5,5,5,5,management,full-time
20,4,4,3,2,4,5,3,non-management,full-time
21,4,4,3,2,4,3,4,non-management,part-time
22,4,2,4,2,4,4,3,non-management,full-time
23,2,1,2,3,2,0,2,non-management,full-time
24,4,5,4,4,4,4,5,non-management,full-time
25,4,4,4,3,4,4,3,non-management,full-time
26,4,0,4,3,5,5,4,management,full-time
27,3,4,0,1,4,4,2,unsure,unsure
28,4,5,4,3,4,4,4,non-management,full-time
29,2,1,1,1,1,4,4,non-management,full-time
